,0
19323,"12856,22182,14236,21585,19346,13368,21537,9327,14325,20372,13411,10816,10870,22403,21607,10633,11848,12877,18265,8499,21611,8579,22301,17121,15913,10881,14187,20051,20073,13362,16876,15403,13985,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,16274,20263,15383,11865,19374,13399,13340,16951,15380,22333,16886,17125,18627,13418,16178,9163,16219,17099"
8499,"21585,13368,9327,14325,20372,13411,22403,21607,10633,18265,19323,21611,8579,22301,17121"
21611,"12856,22182,21585,19346,21537,9327,14325,20372,13411,10816,10870,22403,21607,10633,20193,18265,19323,8499,8579,17121,15913,10881,14187,20051,13362,8487,16876,15403,13985,14127,20404,12909,14244,16885,16925,19500,16274,20263,12514,11865,19374,13399,13340,16959,12879,9121,15485,12803,16886,18627,13418,16178,9163,19364,16219,17099,16203,20217,14152,18012"
8579,"12856,20187,22182,14236,21585,19346,13368,21537,9327,14325,9089,20372,13411,10816,10870,22403,21607,10633,20193,18265,19323,8499,21611,22301,17121,15913,10881,14187,20051,20073,13362,14020,8487,16876,15403,14127,20404,14149,12909,15477,12466,14246,14244,16885,16925,19500,20224,16274,9269,18458,22361,22328,13324,20263,12514,15383,15388,11865,9069,19374,13399,13340,16959,21484,16212,16951,15380,12879,22333,9121,15485,12803,16886,17125,18627,13418,16178,9163,16219,17099,16203,20217,14152,18012,22453,17102,10653,20359,10797,10897,17119"
22301,"20187,22182,14236,21585,13368,21537,9327,14325,20372,13411,10816,22403,21607,10633,19323,8499,8579,15913,10881"
17121,"12856,22182,21585,19346,21537,9327,14325,20372,13411,10816,10870,22403,21607,10633,20193,19323,8499,21611,8579,15913,10881,14187,20051,13362,14020,8487,16876,15403,13985,14127,20404,14149,12909,12466,16925,19500,16274,9269,18458"
15913,"12856,22182,14236,21585,13368,21537,14325,20372,13411,10816,10870,22403,10633,20193,19323,21611,8579,22301,17121,10881,14187,20051,20073,13362,15403,12909,12466,19500,16274,9269,18458,22328,20263,12514,15383"
10881,"12856,22182,21585,13368,21537,9327,14325,20372,13411,10816,10870,22403,21607,10633,20193,19323,21611,8579,22301,17121,15913,14187,20051,13362,14127,12909,15477,12466,14246,14244,16885,19500,20224,16274"
14187,"12856,22182,14236,21585,19346,13368,21537,9327,14325,20372,13411,10816,10870,22403,21607,10633,19323,21611,8579,17121,15913,10881,20051,20073,13362,15403,14127,20404,14149,12909,15477,12466,14246,16885,16925,19500,16274,9269,18458,22361,22328,13324,20263,12514,15383,15388,11865,9069,19374,13399,13340,16959,21484,16951,15380,12879,22333,9121,15485,12803,16886,17125,18627,13418,16178,9163,19364,16219,17099"
20051,"12856,21585,13368,21537,9327,14325,20372,13411,10816,10870,22403,10633,19323,21611,8579,17121,15913,10881,14187,12909,15477,12466,14246,16885,19500,16274,9269,20263,11865,19374,13399,13340,21484,15380,9121,15485,12803,17125,13418,16178,9163"
20073,"12856,14325,20372,13411,10633,19323,8579,15913,14187,13362"
13362,"12856,21537,14325,20372,13411,10633,19323,21611,8579,17121,15913,10881,14187,20073,16876,15403"
14020,"12856,22182,9327,14325,20372,13411,10633,8579,17121,8487"
8487,"12856,22182,9327,14325,20372,13411,10633,20193,21611,8579,17121,14020,16876"
16876,"12856,22182,21537,9327,14325,20372,13411,10633,20193,19323,21611,8579,17121,13362,8487,15403"
15403,"21537,14325,20372,10816,10633,19323,21611,8579,17121,15913,14187,13362,16876,16925,19500,16274,18458"
13985,"19346,21537,9327,14325,20372,21607,10633,19323,21611,17121,14127"
14127,"19346,21537,9327,14325,20372,13411,10816,10870,21607,10633,19323,21611,8579,17121,10881,14187,13985,20404,14149,12909,15477,12466,14246,14244,16885,19500,20224"
20404,"19346,21537,9327,14325,9089,20372,13411,10870,22403,21607,10633,19323,21611,8579,17121,14187,14127,14149,12909,16885,16274,20263,12514,15388,11865,19374,13399,13340,16959,21484,16212,16951,12879,22333"
14149,"9327,14325,20372,13411,10870,21607,19323,8579,17121,14187,14127,20404,12909"
12909,"12856,13368,21537,9327,14325,20372,13411,10816,10870,22403,10633,19323,21611,8579,17121,15913,10881,14187,20051,14127,20404,14149,15477,12466,14246,14244,16885,16925,19500,16274,22361,22328,13324,20263,12514,15383,11865,19374,13399,13340,21484,16951,15380,12879,22333,15485,13418,16178,9163,16203,20217,14152,22453,17102,10653,8942,10797,10897,17119,9002,21466,11893,19445"
15477,"21537,9327,14325,20372,13411,10816,10870,19323,8579,10881,14187,20051,14127,12909,12466,14246"
12466,"21537,9327,14325,20372,13411,10816,10870,10633,19323,8579,17121,15913,10881,14187,20051,14127,12909,15477,16885,19500,20224,16274,9269,18458"
14246,"21537,9327,14325,20372,13411,10816,10870,10633,19323,8579,10881,14187,20051,14127,12909,15477,14244,16885"
14244,"21537,9327,14325,20372,10870,10633,19323,21611,8579,10881,14127,12909,14246,16885,16925,19500"
16885,"21537,9327,14325,20372,13411,10816,10870,22403,10633,19323,21611,8579,10881,14187,20051,14127,20404,12909,12466,14246,14244,16925,19500,16274,22361,22328,13324,20263,12514,15383,11865,9069,19374,13399,13340,21484,16951,15380,22333,9121,15485,12803,16886,17125,18627,13418,16178,9163,16203,20217,14152,18012,22453,17102,10653,8942,10797,10897,17119"
16925,"21537,9327,14325,20372,13411,10816,10870,10633,19323,21611,8579,17121,14187,15403,12909,14244,16885,19500,16274,22328,13324,20263,15383,15388,11865"
19500,"21537,9327,14325,20372,13411,10816,10870,22403,10633,19323,21611,8579,17121,15913,10881,14187,20051,15403,14127,12909,12466,14244,16885,16925,16274,9269,18458,22361,22328,13324,20263,12514,15383,15388,11865,13399,13340,16951,15380,12879,22333,15485,12803,17125,18627,13418,16178,9163,19364,16219,17099,16203,20217,14152,18012,22453,17102,10653,8942,20359,10797,10897,17119,9002,21466,11893,19445,9230"
20224,"21537,9327,14325,20372,13411,10870,8579,10881,14127,12466"
16274,"21537,14325,20372,10816,10870,10633,19323,21611,8579,17121,15913,10881,14187,20051,15403,20404,12909,12466,16885,16925,19500,18458,20263,12514,15383,11865,19374,13399,13340,21484,16951,15380,12879,9121,15485,12803,16886,17125,18627,13418,16178,9163,19364,16219,17099,16203,20217,14152,17102"
9269,"21537,20372,10816,8579,17121,15913,14187,20051,12466,19500"
18458,"21537,14325,20372,10816,8579,17121,15913,14187,15403,12466,19500,16274"
22361,"21537,10816,10870,8579,14187,12909,16885,19500,22328,13324"
22328,"21537,20372,10816,10870,22403,8579,15913,14187,12909,16885,16925,19500,22361,13324,20263,12514,15383"
13324,"21537,20372,13411,10816,10870,8579,14187,12909,16885,16925,19500,22361,22328,20263,15383,15388"
20263,"21537,14325,9089,20372,13411,10816,10870,22403,10633,19323,21611,8579,15913,14187,20051,20404,12909,16885,16925,19500,16274,22328,13324,12514,15383,15388,11865,19374,13399,13340,16959,21484,16212,16951,15380,12879,22333,9121,15485,12803,16886,17125,18627,13418,16178,9163,19364,16219,17099,16203,20217,14152,18012,22453,17102,10653,8942,20359,10797,10897,17119,9002,11893,19445,9230,10721,19394,10843,8581"
