,0
10881,"22301,21585,22182,13362,21607,12856,13368,15477,14246,14244,20224,14127,9327,20193,12466,17121,15913,10816,10870,13411,22403,21537,10633,20051,19323,14187,21611,16274,20372,14325,16885,8579,12909,19500"
9269,"12466,17121,15913,10816,21537,20051,14187,20372,8579,19500"
12466,"15477,20224,14127,9327,10881,9269,18458,17121,15913,10816,10870,13411,21537,10633,20051,19323,14187,16274,20372,14325,16885,8579,12909,19500"
18458,"12466,17121,15403,15913,10816,21537,14187,16274,20372,14325,8579,19500"
17121,"8499,21585,22182,14020,8487,16876,13362,19346,13985,14149,21607,12856,14127,9327,20193,10881,9269,12466,18458,15403,15913,10816,16925,10870,13411,22403,21537,20404,10633,20051,19323,14187,21611,16274,20372,14325,8579,12909,19500"
15403,"16876,13362,18458,17121,15913,10816,16925,21537,10633,19323,14187,21611,16274,20372,14325,8579,19500"
22361,"22328,13324,10816,10870,21537,14187,16885,8579,12909,19500"
22328,"22361,15913,13324,10816,16925,10870,22403,21537,15383,14187,20372,16885,8579,12909,19500,20263,12514"
15913,"22301,21585,14236,20073,22182,13362,12856,13368,20193,10881,9269,12466,18458,17121,15403,22328,10816,10870,13411,22403,21537,10633,20051,15383,19323,14187,21611,16274,20372,14325,8579,12909,19500,20263,12514"
13324,"22361,22328,10816,16925,10870,13411,21537,15388,15383,14187,20372,16885,8579,12909,19500,20263"
10816,"15876,14054,22301,20187,21585,14236,22182,21607,12856,13368,15477,14246,14127,9327,10881,9269,12466,18458,17121,15403,22361,22328,15913,13324,16925,10870,13411,22403,21537,15388,10633,20051,15383,19323,14187,21611,16274,20372,14325,16885,8579,12909,19500,20263,12514"
16925,"14244,9327,17121,15403,22328,13324,10816,10870,13411,21537,15388,10633,15383,19323,14187,21611,16274,20372,14325,16885,8579,12909,19500,20263,11865"
9069,"10870,13411,19374,21537,14187,20372,16885,8579,11865,13399"
10870,"15876,14054,15555,12877,11848,21585,14236,22182,14149,21607,12856,13368,15477,14246,14244,20224,14127,9327,20193,10881,12466,17121,22361,22328,15913,13324,10816,16925,9069,13411,22403,19374,21537,15388,20404,10633,20051,15383,19323,14187,21611,16274,20372,14325,16885,8579,12909,19500,20263,11865,12514,13340,13399"
13411,"16975,8608,14054,18265,8499,22301,20187,21585,14236,20073,22182,14020,8487,16876,13362,14149,21607,12856,13368,15477,14246,20224,14127,9327,20193,10881,12466,17121,15913,13324,10816,16925,9069,10870,22403,19374,21537,16959,20404,10633,20051,15383,19323,14187,21611,20372,14325,16885,8579,12909,19500,20263,11865,13340,13399"
22403,"15876,14054,15555,12877,11848,18265,8499,22301,21585,14236,22182,21607,12856,13368,9327,20193,10881,17121,22328,15913,10816,10870,13411,19374,21537,20404,10633,21484,20051,15383,19323,14187,21611,20372,14325,16885,8579,12909,19500,20263,11865,12514,13399"
19374,"9069,10870,13411,22403,21537,16959,20404,21484,20051,19323,14187,21611,16274,20372,16885,8579,12909,20263,11865,13340,13399"
9089,"8476,20242,15901,8608,14054,21585,22182,12856,13368,9327,21537,16959,16212,15388,20404,10633,20372,14325,8579,16951,20263,12514,13399"
21537,"9062,20387,15501,10772,20040,11724,9042,20242,15901,15522,8608,15876,14054,15555,12877,11848,18265,22301,20187,21585,14236,22182,16876,13362,19346,13985,21607,12856,13368,15477,14246,14244,20224,14127,9327,20193,10881,9269,12466,18458,17121,15403,22361,22328,15913,13324,10816,16925,9069,10870,13411,22403,19374,9089,16959,16212,15388,20404,10633,20051,15383,19323,14187,21611,16274,20372,14325,15380,16885,8579,12909,19500,16951,20263,11865,12514,13340,13399"
16959,"13411,19374,9089,21537,16212,15388,20404,10633,14187,21611,20372,14325,8579,20263,11865,13340,13399"
16212,"9089,21537,16959,15388,20404,10633,20372,14325,8579,20263,13399"
15388,"13324,10816,16925,10870,9089,21537,16959,16212,20404,10633,15383,14187,20372,14325,8579,19500,16951,20263,12514,13399"
20404,"19346,14149,21607,14127,9327,17121,10870,13411,22403,19374,9089,21537,16959,16212,15388,10633,21484,22333,19323,14187,21611,16274,20372,14325,16885,8579,12909,16951,20263,11865,12879,12514,13340,13399"
10633,"15876,14054,15555,12877,11848,18265,8499,22301,20187,21585,14236,20073,22182,14020,8487,16876,13362,19346,13985,21607,12856,13368,14246,14244,14127,9327,20193,10881,12466,17121,15403,15913,10816,16925,10870,13411,22403,9089,21537,16959,16212,15388,20404,20051,19323,14187,21611,16274,20372,14325,15380,16885,8579,12909,19500,16951,20263,11865,12879,13340,13399"
9121,"20051,14187,21611,16274,20372,16885,8579,20263,15485,12803,11865,12514,13340,13399"
21484,"22403,19374,20404,20051,14187,16274,20372,16885,8579,12909,20263,15485,12803,11865,13340,13399"
16886,"17125,19323,14187,21611,16274,20372,16885,8579,20263,18627,13418,13399"
17125,"16886,20051,19323,14187,16274,20372,16885,8579,19500,20263,18627,13418,13399"
20051,"21585,12856,13368,15477,14246,9327,10881,9269,12466,17121,15913,10816,10870,13411,22403,19374,21537,10633,9121,21484,17125,19323,14187,21611,16274,20372,14325,15380,16885,8579,12909,19500,20263,15485,12803,11865,16178,13418,13340,9163,13399"
19364,"14187,21611,16274,20372,19500,16219,20263,11865,18627,16178,9163,13399"
17099,"15383,19323,14187,21611,16274,20372,8579,19500,16219,20263,11865,18627,16178,9163,13399"
15383,"22328,15913,13324,10816,16925,10870,13411,22403,21537,15388,17099,19323,14187,16274,20372,16885,8579,12909,19500,16219,20263,11865,18627,16178,13399"
22333,"20404,19323,14187,20372,14325,16885,8579,12909,19500,16951,20263,11865,18627,16178,13399"
19323,"12877,11848,18265,8499,22301,21585,14236,20073,22182,16876,13362,19346,13985,14149,21607,12856,13368,15477,14246,14244,14127,9327,10881,12466,17121,15403,15913,10816,16925,10870,13411,22403,19374,21537,20404,10633,16886,17125,20051,17099,15383,22333,14187,21611,16274,20372,14325,15380,16885,8579,12909,19500,16219,16951,20263,11865,18627,16178,13418,13340,9163,13399"
14187,"21585,14236,20073,22182,13362,19346,14149,21607,12856,13368,15477,14246,14127,9327,10881,9269,12466,18458,17121,15403,22361,22328,15913,13324,10816,16925,9069,10870,13411,22403,19374,21537,16959,15388,20404,10633,9121,21484,16886,17125,20051,19364,17099,15383,22333,19323,21611,16274,20372,14325,15380,16885,8579,12909,19500,16219,16951,20263,15485,12803,11865,12879,18627,16178,12514,13418,13340,9163,13399"
