,id,matches
110,38117,"63533,63572,63584,63585,63595,63596,63597,63601,63645,63646,63647,63648,63668,63669,63670,63675,63676,63677,63678,63679,63694,63695,63696,63705,63709,63710,63711,63727,63728,63739,63740,63741,63750,63751,63764,63765,63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63834,63835,63836,63841,63842,63843,63844,63848,63849,63850,63868,63869,63875,63876,63877,63896,63897,63902,63903,63904,63912,63922,63923,63924,63953,63954,63955,63967,63968,63981,63982,63983"
111,38132,"63531,63793,63803"
112,38613,"63525,63550,63551,63571,63634,63635,63636,63645,63646,63647,63648,63668,63669,63670,63675,63676,63678,63694,63695"
113,36597,"63517,63551,63571,63572,63573,63601,63602,63621,63623,63634,63694,63695,63696,63705,63709,63710,63727,63728,63739,63740,63741,63750,63751,63764,63765,63769,63770,63771,63792,63793,63801,63802,63803,63826,63827,63841,63842,63843,63844,63848,63849,63850,63868,63869,63875,63876,63877,63896,63897,63953,63954,63955,63967,63968,63981,64067,64074,64075,64076,64086,64087,64088"
114,37532,"63493,63495"
115,38707,"63479,63501,63502,63517"
116,37105,"63478,63479,63493,63494,63495,63502,63517,63523,63524,63525,63530,63531,63532,63533,63537,63538,63539,63549,63551,63571,63584,63585,63597,63601,63602,63603,63621,63622,63623,63634,63635,63636,63645,63648,63678,63679,63694,63695,63696,63727,63728"
117,37730,"63473,63474,63475,63477,63478,63479,63494,63501,63517,63523,63524,63525,63530,63531,63532,63533,63537,63538,63539,63549,63550,63551,63571,63572,63573,63597,63601,63602,63603,63621,63622,63623,63635,63636,63645,63669,63670,63675,63676,63677,63678,63694,63695,63696,63705,63711,63712,63739"
118,37491,"63460,63473,63474,63475,63477,63493,63494,63495,63501,63502,63523,63524,63525,63530,63531,63532,63533,63549,63550,63551,63571,63572,63573,63584,63585,63595,63596,63597,63601,63602,63603,63621,63622,63623,63634,63635,63636,63675,63676"
119,37251,"63459,63460,63475,63539"
120,38118,"63457,63458,63459,63473,63474,63475,63501,63517,63537,63538,63539,63550,63551,63571,63572,63573,63584,63585,63597,63601,63602,63603,63621,63622,63623,63677,63679,63705,63709,63710,63712,63727,63728,63739,63740,63750,63751"
121,36297,"63437,63494,63495,63602,63603,63621,63622,63623,63634,63635,63636"
122,38742,"63435,63436,63517,63537,63538,63539,63549,63550,63551,63572,63584,63585,63602,63603,63621"
123,38252,63423
124,37102,63421
125,36310,"63415,63416"
126,38258,"63399,63400,63401,63402,63421,63422,63423,63435,63457,63458,63460,63473,63478,63479,63493,63494,63523,63524,63525,63530,63532,63533,63537,63538,63539,63549,63550,63551,63572,63573,63584,63585,63595,63596,63597,63601,63602,63603,63621,63622,63623,63634,63635,63636,63645,63646,63647,63648,63668,63669,63670,63675,63676,63677,63678,63679"
127,38404,"63388,63389,63390,63401,63436,63437"
128,37002,"63346,63421,63477,63478,63479,63493,63494,63495,63523,63524,63525,63530,63531,63532,63533,63537,63538,63539,63549,63550,63551"
129,37103,"63345,63346,63388,63389,63435,63436,63437,63460,63474,63493"
130,36620,"63340,63341,63343,63344,63361,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63435,63436,63437,63457,63458,63459,63460,63473,63474,63475,63477,63478,63501,63502,63517,63530"
131,36622,"63308,63309,63310,63343,63344,63345,63346,63361,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63421,63422,63423,63435,63436,63437,63457,63458,63459,63460,63473,63474,63475,63477,63478,63479,63501,63502,63517,63523,63524,63525,63531,63532,63533,63537,63538,63539,63549,63550,63571,63572,63573,63584,63585,63595,63596,63601,63602,63603,63621,63646,63647,63648,63668,63669,63670,63677,63694,63695,63696"
132,38398,"63286,63287,63288,63308,63309,63310,63340,63341,63346,63361,63415,63459,63460,63474,63477,63478,63495,63517,63523,63524,63525,63530,63531,63532,63533"
