player,matches
16975,"64033,64032,64038,64039"
13411,"64038,64039,63940,63936,63939,63932,63933,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63889,63883,63884,63860,63861,63863,63864,63862,63888,63817,63818,63815,63807,63808,63806,63809,63757,63756,63816,63754,63755,63804,63814,63734,63735,63740,63741,63739,63686,63685,63700,63701,63684,63651,63649,63650,63665,63648,63663,63664"
10816,"63998,63932,63933,63937,63890,63891,63892,63990,64000,63889,63815,63807,63808,63806,63805,63809,63804,63814,63718,63740,63741,63716,63715,63713,63714,63717,63739,63689,63687,63688,63704,63686,63703,63685,63700,63701,63702"
10870,"63998,63999,64012,64013,63997,64009,63990,64000,63818,63815,63809,63758,63783,63784,63757,63756,63785,63816,63754,63755,63734,63718,63735,63740,63741,63717,63739,63689,63687,63688,63702,63651,63649,63650,63665,63666,63667"
22403,"63998,64010,64011,64012,63997,64009,63961,63962,63963,63936,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63889,63735,63739,63687,63688,63649,63648,63646,63647"
21607,"63999,64011,63939,63938,63991,63992,64000,63841,63818,63815"
10633,"63999,64010,64012,64013,64009,63981,63982,63983,63940,63936,63939,63932,63933,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63990,63991,63992,64000,63889,63883,63884,63860,63861,63863,63864,63862,63844,63888,63841,63842,63843,63758,63759,63783,63784,63756,63785,63787,63788,63754,63755,63740,63741,63717,63612,63611,63637,63639,63640,63641,63609,63610"
11848,"64010,64011,64012,64013,63961,63962,63963"
20193,"64011,63861,63863,63864,63862,63734"
12877,"64012,63961,63962,63963,63981,63982,63983"
18265,"63961,63940"
19323,"63961,63962,63963,63981,63982,63983,63940,63939,63937,63938,63889,63883,63884,63844,63888,63841,63842,63843,63817,63818,63815,63807,63808,63806,63805,63809,63759,63786,63787,63788,63816,63804,63814,63685,63700,63701,63684,63667,63638,63639,63640,63641,63614,63578,63579,63560,63561,63562,63559,63557,63558,63575"
8499,"63940,63936,63939"
21611,"63940,63861,63863,63862,63844,63841,63842,63843,63759,63783,63784,63785,63786,63787,63788,63734,63735,63740,63741,63739,63650,63665,63666,63663,63664,63640,63641,63609,63610,63599,63600,63579,63571,63572,63573,63561,63562,63605,63544,63545,63546,63547"
8579,"63940,63936,63939,63932,63933,63937,63938,63890,63891,63892,63899,63900,63901,63916,63917,63918,63889,63883,63884,63860,63861,63863,63864,63862,63844,63888,63843,63817,63815,63807,63808,63806,63805,63758,63759,63783,63784,63757,63756,63785,63786,63787,63788,63816,63754,63755,63804,63814,63734,63718,63735,63740,63741,63716,63715,63713,63714,63717,63739,63689,63687,63688,63704,63686,63703,63685,63700,63701,63702,63684,63651,63649,63650,63665,63666,63667,63648,63663,63664,63646,63647,63612,63613,63611,63637,63638,63639,63640,63641,63609,63610,63614,63600,63578,63579,63577,63560,63561,63559,63557,63558,63605,63544,63545,63546,63547,63536,63534,63535,63533,63543,63531,63532,63512,63511"
22301,"63936,63932,63933,63937,63938"
17121,"63939,63860,63864,63844,63841,63842,63817,63815,63816,63814,63734,63718,63735,63716,63715,63713,63714,63717,63739"
15913,"63933,63889,63883,63884,63888,63806,63734,63718,63735,63740,63741,63716,63713,63717,63739,63687,63688"
10881,"63938,63890,63916,63917,63918,63888,63806,63805,63758,63757,63756,63786,63754,63755,63804,63814,63734,63718,63735,63740,63741"
14187,"63891,63892,63899,63900,63901,63916,63917,63889,63883,63884,63888,63843,63817,63818,63815,63807,63808,63809,63816,63716,63715,63713,63714,63689,63688,63704,63686,63703,63685,63700,63701,63702,63684,63651,63649,63650,63665,63648,63663,63664,63646,63647,63637,63638,63639,63640,63641,63609,63610,63614,63599,63600,63598,63578,63577,63576,63571,63572,63573,63560,63559,63557,63558,63575,63605"
20051,"63899,63900,63901,63807,63808,63809,63718,63716,63649,63638,63639,63599,63598,63577,63576"
20073,"63883,63884"
13362,"63883,63884,63844,63888"
14020,63860
8487,"63860,63861,63863,63864,63862"
16876,"63864,63862,63844"
15403,"63844,63713,63714"
13985,"63841,63842"
14127,"63842,63843,63817,63818,63805,63758,63783,63784,63757,63756,63785,63786,63787,63788,63816"
20404,"63843,63818,63816,63648,63646,63647,63613,63611,63609,63610,63614"
14149,"63817,63818"
12909,"63817,63807,63808,63806,63805,63809,63783,63784,63785,63786,63787,63788,63804,63814,63689,63687,63688,63704,63686,63685,63700,63701,63649,63650,63665,63666,63667,63648,63646,63647,63638,63639,63640,63641,63614,63544,63546,63536,63534,63535,63543,63526,63527,63511,63509,63510"
15477,"63805,63809"
12466,"63805,63757,63756,63754,63755,63804,63716,63715"
14246,"63809,63758"
14244,"63758,63759,63783,63784"
16885,"63758,63759,63754,63755,63689,63704,63701,63684,63651,63665,63666,63667,63664,63646,63637,63614,63599,63598,63579,63577,63576,63557,63558,63605,63544,63545,63546,63547,63536,63534,63535,63533,63543,63526,63527,63528,63529,63531,63532,63511"
16925,"63759,63714,63704,63686,63703,63685,63702,63684"
19500,"63784,63785,63786,63787,63788,63716,63715,63713,63714,63717,63689,63687,63688,63704,63703,63700,63701,63702,63637,63638,63639,63640,63641,63577,63576,63571,63572,63573,63560,63562,63559,63557,63558,63575,63544,63545,63536,63534,63535,63533,63543,63526,63527,63528,63529,63531,63532,63512,63511,63509,63510,63489,63507,63508"
20224,63757
